,content
0,"friends,heartbreak,inspirational,life,love,sisters"
1,"courage,friends"
2,"simplicity,understand"
3,love
4,fantasy
5,"life,navigation"
6,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
7,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
8,"books,contentment,friends,friendship,life"
9,"fate,life,misattributed-john-lennon,planning,plans"
10,"friends,heartbreak,inspirational,life,love,sisters"
11,"courage,friends"
12,"simplicity,understand"
13,love
14,fantasy
15,"life,navigation"
16,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
17,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
18,"books,contentment,friends,friendship,life"
19,"fate,life,misattributed-john-lennon,planning,plans"
20,"friends,heartbreak,inspirational,life,love,sisters"
21,"courage,friends"
22,"simplicity,understand"
23,love
24,fantasy
25,"life,navigation"
26,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
27,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
28,"books,contentment,friends,friendship,life"
29,"fate,life,misattributed-john-lennon,planning,plans"
30,"friends,heartbreak,inspirational,life,love,sisters"
31,"courage,friends"
32,"simplicity,understand"
33,love
34,fantasy
35,"life,navigation"
36,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
37,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
38,"books,contentment,friends,friendship,life"
39,"fate,life,misattributed-john-lennon,planning,plans"
40,"friends,heartbreak,inspirational,life,love,sisters"
41,"courage,friends"
42,"simplicity,understand"
43,love
44,fantasy
45,"life,navigation"
46,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
47,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
48,"books,contentment,friends,friendship,life"
49,"fate,life,misattributed-john-lennon,planning,plans"
50,"friends,heartbreak,inspirational,life,love,sisters"
51,"courage,friends"
52,"simplicity,understand"
53,love
54,fantasy
55,"life,navigation"
56,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
57,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
58,"books,contentment,friends,friendship,life"
59,"fate,life,misattributed-john-lennon,planning,plans"
60,"friends,heartbreak,inspirational,life,love,sisters"
61,"courage,friends"
62,"simplicity,understand"
63,love
64,fantasy
65,"life,navigation"
66,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
67,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
68,"books,contentment,friends,friendship,life"
69,"fate,life,misattributed-john-lennon,planning,plans"
70,"friends,heartbreak,inspirational,life,love,sisters"
71,"courage,friends"
72,"simplicity,understand"
73,love
74,fantasy
75,"life,navigation"
76,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
77,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
78,"books,contentment,friends,friendship,life"
79,"fate,life,misattributed-john-lennon,planning,plans"
80,"friends,heartbreak,inspirational,life,love,sisters"
81,"courage,friends"
82,"simplicity,understand"
83,love
84,fantasy
85,"life,navigation"
86,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
87,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
88,"books,contentment,friends,friendship,life"
89,"fate,life,misattributed-john-lennon,planning,plans"
90,"friends,heartbreak,inspirational,life,love,sisters"
91,"courage,friends"
92,"simplicity,understand"
93,love
94,fantasy
95,"life,navigation"
96,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
97,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
98,"books,contentment,friends,friendship,life"
99,"fate,life,misattributed-john-lennon,planning,plans"
100,"friends,heartbreak,inspirational,life,love,sisters"
101,"courage,friends"
102,"simplicity,understand"
103,love
104,fantasy
105,"life,navigation"
106,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
